EmployeeID,Attrition,ExitDate,ExitReason
1271,Yes,2025-11-12,Work-Life Balance
1402,No,,
1811,No,,
1067,No,,
1329,No,,
1325,Yes,2025-11-07,Better Opportunity
1631,No,,
1073,No,,
1128,No,,
1641,No,,
1406,No,,
1843,No,,
1296,No,,
1068,No,,
1491,No,,
1179,No,,
1180,No,,
1642,No,,
1071,No,,
1398,No,,
1536,No,,
1474,Yes,2025-10-12,Poor Culture Fit
1782,No,,
1783,No,,
1679,No,,
1614,Yes,2024-01-04,Personal Reasons
1434,No,,
1850,No,,
1705,No,,
1248,No,,
1862,No,,
1064,Yes,2025-06-29,Burnout / Overtime
1048,No,,
1589,No,,
1460,No,,
1077,No,,
1674,No,,
1857,No,,
1420,No,,
1380,Yes,2026-07-11,Career Change
1139,No,,
1701,Yes,2024-06-22,Better Opportunity
1409,No,,
1733,No,,
1363,No,,
1796,No,,
1721,No,,
1551,Yes,2026-03-07,Better Opportunity
1421,No,,
1331,Yes,2025-09-21,Commute
1111,Yes,2025-12-03,Job Dissatisfaction
1125,No,,
1165,Yes,2023-12-09,Job Dissatisfaction
1192,Yes,2025-08-24,Poor Culture Fit
1583,No,,
1351,No,,
1769,No,,
1148,Yes,2025-08-22,Career Change
1776,No,,
1724,No,,
1605,No,,
1792,No,,
1384,No,,
1105,No,,
1229,No,,
1795,Yes,2026-04-12,Job Dissatisfaction
1066,No,,
1838,Yes,2026-04-27,Job Dissatisfaction
1731,No,,
1669,Yes,2026-01-04,Burnout / Overtime
1644,No,,
1634,No,,
1158,Yes,2025-01-08,Role Pressure
1805,No,,
1195,Yes,2026-07-10,Poor Culture Fit
1426,No,,
1239,No,,
1240,No,,
1538,No,,
1113,No,,
1078,No,,
1832,No,,
1767,No,,
1672,No,,
1301,No,,
1711,No,,
1358,Yes,2025-11-01,Work-Life Balance
1210,Yes,2025-12-25,Commute
1075,No,,
1856,Yes,2025-09-22,Job Dissatisfaction
1237,No,,
1496,No,,
1708,No,,
1379,No,,
1789,No,,
1858,No,,
1477,No,,
1574,No,,
1134,Yes,2025-12-30,Relocation
1823,No,,
1012,Yes,2025-04-25,Commute
1348,No,,
1337,No,,
1377,No,,
1194,Yes,2025-01-11,Career Change
1521,Yes,2026-03-27,Job Dissatisfaction
1429,No,,
1156,No,,
1155,No,,
1754,No,,
1274,No,,
1093,No,,
1545,No,,
1632,No,,
1288,No,,
1037,No,,
1359,No,,
1386,No,,
1504,No,,
1322,No,,
1400,No,,
1343,No,,
1542,No,,
1464,No,,
1338,Yes,2026-05-10,Job Dissatisfaction
1215,No,,
1425,No,,
1365,No,,
1848,No,,
1063,No,,
1478,No,,
1300,No,,
1154,No,,
1245,No,,
1647,No,,
1438,No,,
1014,No,,
1153,Yes,2024-03-26,Career Change
1655,No,,
1613,No,,
1305,No,,
1171,Yes,2025-01-16,Burnout / Overtime
1800,No,,
1597,No,,
1828,No,,
1035,No,,
1453,No,,
1442,No,,
1375,No,,
1254,No,,
1018,No,,
1418,No,,
1181,No,,
1034,No,,
1327,No,,
1147,No,,
1625,No,,
1773,Yes,2026-05-06,Job Dissatisfaction
1090,No,,
1722,No,,
1225,Yes,2026-01-17,Work-Life Balance
1556,No,,
1616,No,,
1255,No,,
1798,No,,
1841,Yes,2025-06-21,Burnout / Overtime
1043,No,,
1552,Yes,2025-10-14,Poor Culture Fit
1412,No,,
1396,No,,
1311,No,,
1514,No,,
1519,No,,
1667,No,,
1432,No,,
1121,Yes,2025-06-10,Burnout / Overtime
1456,No,,
1107,No,,
1114,No,,
1428,No,,
1137,No,,
1346,No,,
1742,No,,
1633,Yes,2023-12-20,Work-Life Balance
1586,No,,
1222,No,,
1291,No,,
1523,Yes,2025-09-13,Relocation
1403,Yes,2025-05-12,Better Opportunity
1591,No,,
1860,No,,
1091,No,,
1286,No,,
1475,No,,
1777,No,,
1216,No,,
1385,No,,
1859,No,,
1788,No,,
1221,No,,
1606,No,,
1424,Yes,2023-03-06,Lack of Growth Opportunity
1054,No,,
1670,No,,
1564,No,,
1617,No,,
1623,No,,
1279,No,,
1190,Yes,2025-10-11,Poor Culture Fit
1465,No,,
1051,No,,
1763,No,,
1284,Yes,2025-07-27,Job Dissatisfaction
1794,No,,
1263,No,,
1084,No,,
1480,No,,
1283,No,,
1539,Yes,2025-11-24,Burnout / Overtime
1036,No,,
1290,No,,
1560,No,,
1778,Yes,2024-08-11,Job Dissatisfaction
1435,No,,
1612,No,,
1226,Yes,2025-06-26,Personal Reasons
1652,No,,
1596,No,,
1168,No,,
1261,No,,
1140,Yes,2023-08-10,Job Dissatisfaction
1289,Yes,2026-05-11,Relocation
1651,No,,
1185,Yes,2025-02-15,Relocation
1822,No,,
1797,No,,
1741,No,,
1466,No,,
1410,No,,
1326,No,,
1547,No,,
1793,No,,
1341,Yes,2025-11-10,Burnout / Overtime
1585,No,,
1618,Yes,2026-07-08,Career Change
1056,No,,
1697,No,,
1829,No,,
1815,No,,
1665,No,,
1657,No,,
1287,No,,
1164,Yes,2025-01-15,Work-Life Balance
1497,Yes,2026-06-30,Burnout / Overtime
1540,Yes,2026-07-26,Role Pressure
1735,Yes,2026-05-26,Job Dissatisfaction
1483,No,,
1524,Yes,2025-06-20,Burnout / Overtime
1845,Yes,2026-05-09,Career Change
1615,No,,
1214,No,,
1659,No,,
1736,No,,
1032,Yes,2025-11-27,Work-Life Balance
1391,No,,
1761,No,,
1658,Yes,2026-04-01,Job Dissatisfaction
1719,No,,
1785,Yes,2025-04-22,Poor Culture Fit
1204,No,,
1360,Yes,2022-11-18,Relocation
1718,No,,
1758,No,,
1437,No,,
1136,No,,
1431,No,,
1725,No,,
1643,No,,
1407,No,,
1739,No,,
1753,Yes,2025-12-14,Better Opportunity
1849,Yes,2025-09-05,Burnout / Overtime
1820,No,,
1445,No,,
1508,No,,
1568,No,,
1601,No,,
1213,No,,
1009,No,,
1307,No,,
1109,No,,
1745,No,,
1837,No,,
1177,No,,
1704,Yes,2025-03-03,Burnout / Overtime
1675,No,,
1249,No,,
1046,No,,
1160,No,,
1267,No,,
1662,No,,
1081,No,,
1308,No,,
1664,No,,
1269,No,,
1518,No,,
