ReviewID,EmployeeID,ReviewDate,PerformanceRating,JobSatisfaction,WorkLifeBalance
52,1059,2026-03-21,2,,2.0
379,1423,2024-06-18,3,3.0,1.0
28,1031,2026-04-04,4,4.0,3.0
581,1659,2025-08-30,4,3.0,3.0
87,1097,2026-03-29,4,3.0,1.0
145,1163,2025-06-15,4,2.0,2.0
66,1074,2025-10-10,3,3.0,2.0
639,1731,2023-04-08,4,2.0,3.0
11,1013,2026-10-13,4,2.0,4.0
524,1589,2026-03-12,5,4.0,2.0
537,1606,2026-05-07,3,,1.0
124,1140,2025-12-03,3,2.0,4.0
390,1440,2026-07-30,5,,1.0
401,1451,2024-01-24,3,3.0,2.0
271,1305,2025-10-25,2,3.0,
82,1091,2025-11-04,3,4.0,3.0
81,1090,2025-01-06,3,4.0,3.0
452,1511,2025-10-07,3,4.0,4.0
695,1792,2025-11-23,4,2.0,
650,1744,2021-08-30,3,3.0,2.0
125,1141,2024-07-15,3,3.0,1.0
138,1155,2025-10-25,4,2.0,4.0
292,1327,2026-01-29,1,3.0,3.0
294,1331,2026-02-26,2,3.0,1.0
465,1525,2025-08-04,3,3.0,3.0
664,1759,2024-11-09,5,3.0,3.0
653,1747,2025-04-26,3,3.0,3.0
500,1561,2026-01-01,4,4.0,2.0
586,1664,2026-02-17,3,1.0,3.0
755,1862,2023-04-19,4,3.0,2.0
489,1549,2026-01-28,3,,4.0
571,1647,2026-05-25,3,3.0,1.0
402,1452,2026-03-13,3,2.0,2.0
394,1444,2025-06-01,5,2.0,3.0
388,1437,2025-05-08,4,1.0,3.0
667,1762,2026-01-03,4,4.0,2.0
510,1575,2025-09-06,4,4.0,2.0
352,1394,2025-09-20,3,3.0,2.0
304,1343,2025-11-21,5,2.0,3.0
525,1590,2025-06-13,2,3.0,3.0
42,1047,2026-08-15,4,4.0,1.0
688,1785,2025-05-04,3,3.0,2.0
49,1055,2025-07-25,3,,3.0
413,1466,2026-06-27,4,4.0,3.0
359,1403,2025-05-07,3,4.0,1.0
389,1438,2025-06-09,4,3.0,2.0
745,1850,2025-07-30,3,4.0,2.0
441,1498,2025-06-12,3,2.0,3.0
212,1237,2026-06-14,3,,3.0
86,1096,2024-10-19,2,3.0,2.0
267,1299,2026-12-28,4,1.0,4.0
420,1475,2024-08-28,4,3.0,4.0
325,1365,2024-04-23,3,1.0,4.0
315,1354,2024-06-18,3,2.0,2.0
295,1332,2025-08-12,5,3.0,3.0
444,1502,2025-01-26,2,4.0,1.0
270,1304,2025-05-13,3,4.0,3.0
215,1240,2027-01-06,4,2.0,2.0
440,1496,2025-02-28,1,3.0,2.0
122,1138,2025-03-09,2,3.0,1.0
46,1051,2026-04-26,3,4.0,2.0
104,1115,2026-02-14,3,3.0,1.0
544,1615,2026-03-18,5,1.0,1.0
692,1789,2022-01-24,5,3.0,4.0
