SalaryID,EmployeeID,EffectiveDate,MonthlyIncome
1342,1758,2023-09-15,10267
802,1447,2024-12-31,
240,1136,2024-12-06,8900
144,1082,2023-05-16,6271
619,1344,2025-06-13,11000
1395,1787,2024-05-18,6339
691,1385,2025-04-22,7100
1109,1622,2024-11-01,4150
1195,1672,2025-06-08,7641
970,1540,2023-07-03,8813
335,1187,2023-08-19,8800
353,1197,2026-06-04,10700
1393,1786,2025-05-09,9339
864,1482,2026-01-22,10100
766,1426,2023-11-20,7589
1057,1591,2026-06-04,8200
985,1547,2024-11-16,9600
386,1215,2024-12-26,8000
1257,1709,2026-03-04,11800
520,1288,2022-06-01,4838
485,1268,2024-06-13,12300
1130,1634,2023-09-17,6696
782,1436,2025-03-06,4500
1106,1620,2025-08-20,4700
826,1461,2026-01-11,7000
950,1529,2024-10-29,13200
827,1462,2024-11-29,
665,1370,2023-05-03,9237
906,1505,2025-10-31,20600
548,1304,2025-06-20,5700
308,1173,2025-06-05,7800
955,1532,2025-09-22,4100
1499,1843,2025-03-02,11300
1116,1626,2025-09-24,10400
1510,1850,2024-08-27,6981
1255,1707,2025-08-01,7300
200,1113,2024-06-10,6785
700,1390,2024-04-21,6339
706,1393,2021-11-15,11774
158,1090,2024-02-19,6071
1122,1629,2025-02-24,10400
591,1327,2025-10-02,4300
1223,1690,2026-01-17,"$14,700"
602,1335,2024-09-09,10094
503,1278,2024-03-26,4553
271,1153,2022-08-15,7881
465,1258,2025-05-19,"$7,169"
355,1198,2025-09-02,5600
274,1154,2024-09-09,9200
1316,1744,2019-08-01,5808
1117,1627,2025-03-20,5660
269,1152,2024-04-18,11607
77,1044,2023-09-23,12946
469,1260,2025-04-25,6698
502,1277,2025-08-16,8700
1171,1658,2026-03-02,9900
1293,1730,2026-03-23,12200
46,1027,2024-07-07,13100
15,1010,2019-11-11,14264
1041,1581,2026-07-07,9100
493,1273,2024-10-23,7169
1059,1592,2025-07-17,14600
874,1487,2024-06-22,8100
247,1140,2022-02-18,12016
666,1370,2025-02-18,10900
449,1249,2024-02-08,9000
1037,1579,2024-10-19,13679
1496,1841,2025-06-07,8900
969,1539,2026-01-03,7500
668,1371,2024-07-17,8000
478,1264,2024-04-04,3800
1523,1857,2025-11-09,12600
504,1278,2025-06-07,5100
446,1247,2025-01-27,7800
1417,1799,2024-02-01,8392
1526,1859,2025-12-21,9600
1456,1820,2024-06-17,12400
1095,1614,2022-10-30,8644
418,1232,2025-01-09,10188
306,1172,2024-09-28,12000
1043,1582,2026-01-31,11000
1035,1577,2024-12-19,10500
1322,1747,2023-11-09,8392
506,1279,2025-06-21,7200
1186,1667,2021-04-09,5846
545,1302,2023-08-07,6500
388,1216,2025-07-26,7100
72,1040,2026-01-01,9300
1503,1846,2024-04-27,4732
143,1081,2025-06-21,8800
279,1157,2026-06-04,12500
480,1265,2023-08-14,8000
1483,1835,2023-11-25,11428
774,1431,2024-08-23,17641
241,1137,2020-11-17,10846
495,1274,2022-10-31,7627
527,1292,2020-07-28,8307
1314,1743,2025-07-11,13113
184,1104,2021-05-20,16846
1243,1701,2025-04-10,7000
643,1357,2025-07-05,5300
70,1039,2023-12-24,7000
1286,1726,2025-01-20,11792
613,1340,2025-05-05,14800
463,1257,2020-06-10,4117
419,1232,2025-08-16,10800
783,1437,2023-10-02,6964
702,1391,2021-11-15,11854
722,1402,2025-08-04,10400
814,1453,2026-01-18,9300
287,1161,2024-08-26,10100
1283,1724,2025-12-31,6500
1147,1643,2023-10-11,11000
1304,1737,2025-05-04,8300
1164,1653,2024-09-15,7000
1239,1699,2025-09-18,19400
1047,1585,2025-07-06,16509
673,1375,2025-05-05,10800
366,1204,2025-11-06,16700
772,1430,2025-03-10,9905
1300,1735,2026-04-26,13600
242,1137,2023-11-17,14100
319,1179,2025-07-19,16200
1166,1655,2024-02-28,5089
312,1175,2025-03-16,5900
796,1444,2025-04-23,13600
309,1174,2024-09-29,11320
825,1460,2025-09-12,10600
432,1239,2025-12-13,14300
182,1103,2023-09-09,6785
843,1471,2023-06-23,10000
1178,1662,2025-09-09,9100
69,1039,2021-07-31,5645
1519,1855,2024-03-31,6517
198,1112,2023-11-27,7499
854,1477,2025-03-06,14600
930,1519,2023-12-13,15892
284,1160,2022-03-28,12258
1189,1668,2023-10-23,6900
59,1034,2024-03-04,7678
838,1468,2025-12-20,6500
138,1079,2024-08-13,8584
889,1495,2025-06-22,18200
1099,1616,2023-02-05,6186
324,1182,2023-03-31,6694
758,1422,2024-12-09,7358
1542,9994,2024-01-15,4800
205,1116,2025-04-05,9811
1073,1601,2025-01-24,5500
1264,1713,2025-08-19,14100
1202,1677,2022-05-18,6451
499,1276,2024-04-09,3839
720,1401,2025-03-03,9800
695,1387,2025-03-11,5800
403,1224,2022-12-18,8559
1019,1569,2021-10-12,5403
683,1381,2024-08-30,"$8,018"
